"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1067.t1.CDS5",504.842909479224,-4.75500167925628,0.850611881281761,-5.59009553462986,2.26944717043027e-08,8.66621140682506e-07
"g2369.t1.CDS5",52.3195724316305,3.78010405157936,0.676225451535556,5.59000558614823,2.27062307602403e-08,8.66621140682506e-07
"g2910.t1.CDS1",139.623081591461,6.43877993399321,1.15265974430934,5.58601960880594,2.32333014292951e-08,8.75513143734323e-07
"g661.t1.CDS2",30.8868175896246,6.77744575613092,1.21917871626165,5.55902565040873,2.71284830440107e-08,1.00649986235337e-06
"g662.t1.CDS2",64.7768477829201,7.85601759302722,1.41361899628107,5.55737975628139,2.73854514110254e-08,1.00649986235337e-06
"g1684.t1.CDS3",25.5968010001653,-5.37182002007884,0.970350915388732,-5.53595604939151,3.09535186425675e-08,1.11022439757739e-06
"g2923.t1.CDS7",27.7943331372014,5.5911851116578,1.00962836963712,5.53786450520142,3.06181985035949e-08,1.11022439757739e-06
"g1789.t1.CDS1",41.0020502356016,5.37908458886634,0.974385743726865,5.5204877775533,3.38059909084029e-08,1.19810041588471e-06
"g2910.t1.CDS2",150.221560122161,6.6270106865774,1.20245982573731,5.51121172178365,3.56371733431011e-08,1.24813958873426e-06
"g2838.t1.CDS1",73.4134270061957,3.57712177691798,0.650428992350247,5.49963457808436,3.80579142065673e-08,1.3174233789878e-06
"g3033.t1.CDS2",19.5385237278576,-8.52789423320317,1.5571919460918,-5.476456678707,4.33926944640565e-08,1.48482817723559e-06
"g1652.t1.CDS1",140.57230257288,3.85249145105589,0.715236874799693,5.38631548063683,7.19166865815077e-08,2.43290881764941e-06
"g406.t1.CDS1",163.98439490032,5.89816629664852,1.09878919124655,5.36787797298697,7.96684238368811e-08,2.66486401980219e-06
"g261.t1.CDS1",1287.16743065656,-5.33630060214619,0.998348572665374,-5.34512769212403,9.03533343089014e-08,2.9886875137511e-06
"g2251.t1.CDS1",255.631837096296,3.22621664238956,0.609618607790111,5.29218859326605,1.20861158765685e-07,3.95388647962028e-06
